Source Target Weight
韦小宝 陈近南 1005
韦小宝 鳌拜 1554
韦小宝 吴三桂 2543
韦小宝 小桂子 1145
韦小宝 平威 43
韦小宝 老吴 98
韦小宝 温有道 63
韦小宝 温有方 146
韦小宝 玄烨 14
韦小宝 杰书 24
韦小宝 索额图 610
韦小宝 海大富 221
韦小宝 明珠 157
韦小宝 蕊初 160
韦小宝 贾老六 60
韦小宝 崔瞎子 13
韦小宝 关安基 166
韦小宝 李力世 230
韦小宝 方大洪 13
韦小宝 马超兴 161
韦小宝 蔡德忠 28
韦小宝 林永超 6
韦小宝 李式开 3
韦小宝 白寒松 46
韦小宝 白寒枫 223
韦小宝 樊纲 139
韦小宝 玄真道人 4
韦小宝 马博仁 55
韦小宝 姚春 17
韦小宝 雷一啸 6
韦小宝 王武通 22
韦小宝 苏冈 91
韦小宝 卢一峰 89
韦小宝 风际中 473
韦小宝 徐天川 602
韦小宝 吴应熊 957
韦小宝 守备 23
韦小宝 多隆 708
韦小宝 郎师傅 2
韦小宝 齐元凯 39
韦小宝 神照上人 2
韦小宝 杨溢之 406
韦小宝 江百胜 12
韦小宝 沐剑屏 1004
韦小宝 方怡 1451
韦小宝 瑞栋 351
韦小宝 劳太监 3
韦小宝 张康年 467
韦小宝 赵齐贤 267
韦小宝 刘一舟 717
韦小宝 钱老本 248
韦小宝 沐剑声 215
韦小宝 柳大洪 154
韦小宝 敖彪 125
韦小宝 吴立身 520
韦小宝 李西华 90
韦小宝 柳燕 310
韦小宝 陶红英 315
韦小宝 邓炳春 28
韦小宝 章老三 49
韦小宝 双儿 2324
韦小宝 庄夫人 73
韦小宝 吴之荣 408
韦小宝 于八 78
韦小宝 澄光 268
韦小宝 巴颜法师 1
韦小宝 心溪 56
韦小宝 皇甫阁 87
韦小宝 桑结 467
韦小宝 行颠 156
韦小宝 行痴 316
韦小宝 玉林 215
韦小宝 胖头陀 851
韦小宝 澄心 119
韦小宝 无根道人 93
韦小宝 钟志灵 8
韦小宝 洪安通 64
韦小宝 许雪亭 53
韦小宝 苏荃 393
韦小宝 陆高轩 409
韦小宝 殷锦 40
韦小宝 瘦头陀 569
韦小宝 张淡月 27
韦小宝 建宁公主 235
韦小宝 察尔珠 47
韦小宝 葛通 15
韦小宝 五符 2
韦小宝 元义方 152
韦小宝 富春 43
韦小宝 司徒伯雷 97
韦小宝 李自成 216
韦小宝 司徒鹤 52
韦小宝 曾柔 243
韦小宝 晦聪禅师 24
韦小宝 澄通 90
韦小宝 净济 64
韦小宝 净清 20
韦小宝 澄识 11
韦小宝 澄观 604
韦小宝 葛尔丹 310
韦小宝 昌齐 30
韦小宝 马宝 20
韦小宝 呼巴音 99
韦小宝 施琅 811
韦小宝 九难 411
韦小宝 冯难敌 19
韦小宝 陈圆圆 396
韦小宝 冯锡范 481
韦小宝 祁清彪 43
韦小宝 夏国相 211
韦小宝 邝天雄 40
韦小宝 吴六奇 293
韦小宝 胡逸之 95
韦小宝 黄宗羲 1
韦小宝 林兴珠 201
韦小宝 汤若望 80
韦小宝 南怀仁 71
韦小宝 教士 82
韦小宝 黄甫 19
韦小宝 云素梅 20
韦小宝 苏菲亚 523
韦小宝 高里津 39
韦小宝 西奥图三世 6
韦小宝 巴泰 2
韦小宝 卫周祚 2
韦小宝 杜立德 4
韦小宝 赵良栋 223
韦小宝 张勇 196
韦小宝 王进宝 250
韦小宝 孙思克 140
韦小宝 马佑 94
韦小宝 慕天颜 123
韦小宝 顾炎武 165
韦小宝 吕留良 25
韦小宝 张妈 10
韦小宝 何惕守 70
韦小宝 归辛树 174
韦小宝 归钟 143
韦小宝 归二娘 176
韦小宝 阿济赤 61
韦小宝 彭参将 48
韦小宝 洪朝 73
韦小宝 路副将 12
韦小宝 图尔布青 47
韦小宝 华伯斯基 73
韦小宝 齐洛诺夫 65
韦小宝 马喇 11
韦小宝 阿尔尼 7
韦小宝 马齐 3
韦小宝 佟国纲 114
韦小宝 费要多罗 473
韦小宝 菊芳 35
韦小宝 吕葆中 6
韦小宝 吕毅中 11
韦小宝 舒化龙 41
吴大鹏 韦小宝 27
吴大鹏 茅十八 180
吴大鹏 王潭 34
吴大鹏 史松 59
吴大鹏 陈近南 19
吴大鹏 鳌拜 8
王潭 茅十八 53
王潭 吴大鹏 34
王潭 史松 16
王潭 陈近南 5
王潭 鳌拜 2
王潭 韦小宝 2
史松 茅十八 150
史松 吴大鹏 59
史松 王潭 16
史松 陈近南 12
史松 鳌拜 12
史松 韦小宝 48
史松 李力世 1
吴三桂 韦小宝 2543
吴三桂 茅十八 70
吴三桂 鳌拜 31
吴三桂 陈近南 207
吴三桂 林永超 22
吴三桂 李式开 6
吴三桂 蔡德忠 5
吴三桂 姚必达 2
吴三桂 胡德第 2
吴三桂 方大洪 1
吴三桂 李力世 42
吴三桂 关安基 9
吴三桂 姚春 2
吴三桂 白寒枫 22
吴三桂 马博仁 1
吴三桂 雷一啸 1
吴三桂 王武通 5
吴三桂 白寒松 5
吴三桂 卢一峰 59
吴三桂 樊纲 9
吴三桂 苏冈 21
吴三桂 徐天川 77
吴三桂 索额图 45
吴三桂 吴应熊 228
吴三桂 瑞栋 5
吴三桂 方怡 55
吴三桂 小桂子 74
吴三桂 多隆 47
吴三桂 杨溢之 78
吴三桂 沐剑声 67
吴三桂 柳大洪 81
吴三桂 刘一舟 23
吴三桂 赵齐贤 42
吴三桂 沐剑屏 100
吴三桂 海大富 5
吴三桂 吴立身 42
吴三桂 李西华 24
吴三桂 敖彪 3
吴三桂 陶红英 3
吴三桂 行痴 2
吴三桂 胖头陀 26
吴三桂 柳燕 4
吴三桂 无根道人 2
吴三桂 元义方 69
吴三桂 张康年 68
吴三桂 富春 12
吴三桂 司徒伯雷 83
吴三桂 李自成 203
吴三桂 司徒鹤 14
吴三桂 曾柔 7
吴三桂 葛通 2
吴三桂 葛尔丹 71
吴三桂 马宝 8
吴三桂 杰书 4
吴三桂 察尔珠 3
吴三桂 桑结 66
吴三桂 九难 164
吴三桂 冯难敌 6
吴三桂 陈圆圆 150
吴三桂 风际中 20
吴三桂 冯锡范 28
吴三桂 陆高轩 16
吴三桂 建宁公主 21
吴三桂 钱老本 61
吴三桂 祁清彪 9
吴三桂 夏国相 118
吴三桂 澄观 1
吴三桂 玄真道人 4
吴三桂 邝天雄 19
吴三桂 马超兴 25
吴三桂 吴六奇 53
吴三桂 胡逸之 3
吴三桂 林兴珠 5
吴三桂 汤若望 12
吴三桂 教士 1
吴三桂 双儿 32
吴三桂 南怀仁 6
吴三桂 玄烨 1
吴三桂 施琅 15
吴三桂 殷锦 1
吴三桂 许雪亭 1
吴三桂 张淡月 1
吴三桂 瘦头陀 2
吴三桂 洪安通 2
吴三桂 苏菲亚 5
吴三桂 巴泰 13
吴三桂 对喀纳 6
吴三桂 米思翰 3
吴三桂 杜立德 4
吴三桂 明珠 16
吴三桂 赵良栋 45
吴三桂 王进宝 23
吴三桂 张勇 48
吴三桂 孙思克 48
吴三桂 黄甫 2
吴三桂 慕天颜 32
吴三桂 吴之荣 37
吴三桂 顾炎武 26
吴三桂 吕留良 7
吴三桂 马佑 25
吴三桂 守备 17
吴三桂 归钟 29
吴三桂 归二娘 59
吴三桂 归辛树 34
吴三桂 何惕守 1
吴三桂 温有方 11
吴三桂 苏荃 3
吴三桂 洪朝 2
吴三桂 吕毅中 1
小桂子 韦小宝 1145
小桂子 茅十八 57
小桂子 陈近南 14
小桂子 平威 12
小桂子 老吴 16
小桂子 温有道 6
小桂子 温有方 7
小桂子 鳌拜 157
小桂子 杰书 4
小桂子 索额图 62
小桂子 蕊初 19
小桂子 海大富 29
小桂子 关安基 3
小桂子 李力世 2
小桂子 明珠 2
小桂子 多隆 40
小桂子 神照上人 1
小桂子 沐剑屏 13
小桂子 方怡 12
小桂子 瑞栋 8
小桂子 风际中 2
小桂子 吴三桂 74
小桂子 吴应熊 49
小桂子 杨溢之 8
小桂子 刘一舟 5
小桂子 吴立身 11
小桂子 张康年 3
小桂子 沐剑声 1
小桂子 柳大洪 1
小桂子 柳燕 12
小桂子 徐天川 4
小桂子 庄夫人 3
小桂子 双儿 15
小桂子 章老三 7
小桂子 胖头陀 9
小桂子 殷锦 3
小桂子 行颠 3
小桂子 建宁公主 41
小桂子 察尔珠 2
小桂子 澄观 2
小桂子 葛尔丹 3
小桂子 昌齐 1
小桂子 玉林 1
小桂子 澄光 1
小桂子 钱老本 3
小桂子 南怀仁 5
小桂子 汤若望 2
小桂子 瘦头陀 3
小桂子 施琅 6
小桂子 王进宝 6
小桂子 赵良栋 2
小桂子 李自成 1
小桂子 桑结 3
小桂子 陈圆圆 1
小桂子 阿济赤 3
小桂子 归辛树 2
小桂子 陶红英 13
小桂子 赵齐贤 1
小桂子 苏荃 5
小桂子 陆高轩 1
小桂子 曾柔 2
小桂子 苏菲亚 1
小桂子 林兴珠 1
小桂子 张勇 1
小桂子 冯锡范 1
平威 小桂子 12
平威 韦小宝 43
平威 老吴 15
平威 温有方 1
平威 海大富 1
老吴 小桂子 16
老吴 韦小宝 98
老吴 平威 15
老吴 温有道 1
老吴 温有方 2
老吴 海大富 1
温有道 老吴 1
温有道 温有方 28
温有道 韦小宝 63
温有道 小桂子 6
温有道 索额图 1
温有道 鳌拜 3
温有道 海大富 1
温有方 老吴 2
温有方 温有道 28
温有方 韦小宝 146
温有方 小桂子 7
温有方 平威 1
温有方 王进宝 14
温有方 苏荃 6
温有方 鳌拜 6
温有方 吴三桂 11
温有方 桑结 3
温有方 苏菲亚 3
温有方 吴应熊 3
温有方 建宁公主 3
温有方 沐剑屏 2
温有方 方怡 4
温有方 双儿 1
温有方 曾柔 1
玄烨 韦小宝 14
玄烨 鳌拜 5
玄烨 南怀仁 2
玄烨 汤若望 2
玄烨 吴三桂 1
杰书 鳌拜 23
杰书 韦小宝 24
杰书 小桂子 4
杰书 索额图 4
杰书 吴三桂 4
杰书 察尔珠 1
杰书 多隆 3
杰书 苏菲亚 2
杰书 巴泰 2
杰书 明珠 2
杰书 杜立德 1
索额图 鳌拜 184
索额图 小桂子 62
索额图 韦小宝 610
索额图 杰书 4
索额图 茅十八 5
索额图 明珠 14
索额图 温有道 1
索额图 海大富 1
索额图 陈近南 9
索额图 李力世 1
索额图 关安基 1
索额图 多隆 35
索额图 吴三桂 45
索额图 吴应熊 20
索额图 齐元凯 1
索额图 杨溢之 2
索额图 瑞栋 1
索额图 方怡 4
索额图 察尔珠 2
索额图 澄通 1
索额图 陶红英 2
索额图 施琅 65
索额图 冯锡范 3
索额图 胖头陀 6
